id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2352,"Triplex-2chmbrs,grande sdb,terrasse= tous confort",2582,Oda,,Molenbeek-Saint-Jean,50.85787,4.30809,Entire home/apt,93,2,15,2018-12-31,0.22,2,241
2354,COURT/Long- 1chmb+1salon+sdd+terras,2582,Oda,,Molenbeek-Saint-Jean,50.85697,4.30651,Entire home/apt,78,2,2,2018-10-28,0.05,2,342
42521,Ixelles: spacious bedroom+boudoir+ensuite bathroom,185699,Claire,,Ixelles,50.81929,4.3879,Private room,45,2,138,2019-09-30,1.23,1,269
45145,B&B Welcome to my place -  2,199370,Erick,,Saint-Josse-ten-Noode,50.853,4.36971,Hotel room,100,1,3,2019-04-08,0.03,2,318
48180,Top Apart/location 0 default 2rooms,219560,Ahmet,,Woluwe-Saint-Pierre,50.83821,4.40683,Entire home/apt,200,2,0,,,1,365
52796,Bright apartment in Ixelles/Louise,244722,Pierre,,Ixelles,50.83356,4.36027,Entire home/apt,74,5,99,2019-11-01,0.93,1,349
71744,Sunny and Quiet City Centre,368362,Amandine,,Bruxelles,50.85427,4.34842,Entire home/apt,78,3,12,2019-08-12,0.46,1,0
80257,New-York,433586,Kristella/Francesco,,Anderlecht,50.83905,4.33521,Entire home/apt,95,1,4,2019-06-16,0.05,16,363
80320,Médina,433586,Kristella/Francesco,,Anderlecht,50.83946,4.33567,Entire home/apt,85,1,56,2019-08-10,0.54,16,359
80373,Villa Romaine,433586,Kristella/Francesco,,Anderlecht,50.83958,4.33545,Entire home/apt,85,1,5,2019-07-07,0.11,16,358
88206,Large room in leafy neighbourhood,482601,Cheryl,,Watermael-Boitsfort,50.80848,4.40284,Private room,60,2,8,2013-09-24,0.08,1,0
96293,Grand Famille Luxe,433586,Kristella/Francesco,,Anderlecht,50.8413,4.33654,Entire home/apt,135,1,47,2018-12-23,0.45,16,352
96642,Violetta,433586,Kristella/Francesco,,Anderlecht,50.84076,4.33544,Entire home/apt,70,1,22,2019-10-20,0.21,16,337
96694,Mimosa,433586,Kristella/Francesco,,Anderlecht,50.83908,4.33556,Entire home/apt,85,1,32,2019-09-24,0.32,16,350
97740,A la Villa des Roses Voltaire B&B,517059,Benoît,,Schaerbeek,50.86986,4.37712,Hotel room,95,2,3,2016-05-26,0.03,2,339
97768,Charming & cosy B&B in Uccle.,510480,Françoise,,Uccle,50.80532,4.33227,Private room,75,7,1,2019-08-12,0.30,2,0
106677,Charming Flat/Studio with garden.,510480,Françoise,,Uccle,50.8064,4.33487,Entire home/apt,85,3,1,2019-09-30,0.59,2,291
118707,"Appart. ""Sydney""",433586,Kristella/Francesco,,Anderlecht,50.84053,4.33521,Entire home/apt,95,1,44,2019-05-22,0.43,16,361
130097,Very close to Grand'Place,641036,Pascal,,Bruxelles,50.84582,4.34954,Hotel room,97,2,31,2019-10-15,0.30,2,264
134357,"Gare du Midi - Appart.  ""Florence""",433586,Kristella/Francesco,,Anderlecht,50.84039,4.33664,Entire home/apt,70,1,240,2019-11-02,11.21,16,0
134361,"Gare du Midi - Appart.  ""Lilas""",433586,Kristella/Francesco,,Anderlecht,50.83903,4.33537,Entire home/apt,80,1,17,2019-10-26,0.21,16,353
134504,"Gare du Midi - Appart.  ""Villarosa""",433586,Kristella/Francesco,,Saint-Gilles,50.83877,4.33739,Entire home/apt,80,1,18,2019-09-29,0.18,16,351
134581,Big Family / Grande famille 2,433586,Kristella/Francesco,,Anderlecht,50.83937,4.3367,Entire home/apt,120,1,74,2019-09-29,0.72,16,345
134687,Design Apartment near center,660744,Alexandre,,Uccle,50.81208,4.348,Entire home/apt,55,3,25,2017-09-25,0.45,1,0
137738,"Very large apartment, sunlight, great location!",673355,Charlotte,,Forest,50.81904,4.33602,Entire home/apt,72,7,9,2019-11-03,0.09,1,82
137971,3-bedroom Apartment in EU District,674142,RAS Residence,,Bruxelles,50.84634,4.37466,Entire home/apt,165,1,110,2019-11-16,1.15,8,323
148114,"Gare du Midi - Appart.  ""Savane""",433586,Kristella/Francesco,,Saint-Gilles,50.83934,4.33692,Entire home/apt,95,1,13,2019-07-16,0.13,16,355
148797,Big appt 3 bedroom with Garden,717733,Grégoire,,Etterbeek,50.8304,4.38454,Entire home/apt,100,5,14,2019-07-19,0.18,1,140
159836,"Duplex, typisch Brussels herenhuis.",766382,Lucile,,Schaerbeek,50.87374,4.3813,Entire home/apt,49,2,122,2019-10-20,2.43,2,149
166510,1-bedroom Apartment  in EU District,674142,RAS Residence,,Bruxelles,50.84682,4.37322,Entire home/apt,150,1,9,2019-11-10,0.09,8,354
179990,Private room in a nice family house (with 3 kids),862121,"Mathilde, Stefano, J, S & M",,Woluwe-Saint-Lambert,50.85133,4.41677,Private room,30,1,54,2019-10-25,0.63,1,313
196623,LOFT JAMAR BRUXELLES GARE DU MIDI,957771,Sylvain,,Saint-Gilles,50.83896,4.33735,Entire home/apt,75,1,162,2019-11-05,1.65,1,255
198943,"Design studio with garden, Brussels",971770,Antoine,,Bruxelles,50.82538,4.36706,Entire home/apt,80,3,164,2019-11-14,1.66,1,141
200385,Bright and Charming Apartment with sunny terrace!,624176,Daan,,Saint-Gilles,50.82705,4.34339,Entire home/apt,60,2,162,2019-10-31,2.95,1,51
227067,Royal stay in Brussels,1184505,Karolien,,Bruxelles,50.8791,4.35508,Entire home/apt,90,3,70,2019-07-23,0.71,1,152
232262,"2 Bedroom Flat, 100 sqm., next to Grand Place!",871030,ApartmentsApart,,Bruxelles,50.8494,4.35085,Entire home/apt,150,1,85,2019-11-02,0.87,48,332
232268,100 sq.m. Flat Next to Grand Place!,871030,ApartmentsApart,,Bruxelles,50.84763,4.35064,Entire home/apt,149,1,33,2019-09-27,0.40,48,331
232354,"Overlooking the Opera,1Bedroom Flat",871030,ApartmentsApart,,Bruxelles,50.8494,4.35245,Entire home/apt,87,2,10,2019-03-23,0.14,48,288
233899,Next to Grand Place and the Opera!,871030,ApartmentsApart,,Bruxelles,50.85059,4.35275,Entire home/apt,149,2,62,2019-10-15,1.03,48,317
233912,"2 BRMs in Style, 113 sqm., opp. the Opera House",871030,ApartmentsApart,,Bruxelles,50.84913,4.3517,Entire home/apt,150,2,37,2019-10-05,0.64,48,311
233927,2 Bedroom Next to The Opera House!,871030,ApartmentsApart,,Bruxelles,50.84929,4.351,Entire home/apt,150,1,27,2019-11-02,0.31,48,319
233943,Next to the Opera and Grand Place!,871030,ApartmentsApart,,Bruxelles,50.84957,4.3527,Entire home/apt,160,2,6,2014-12-14,0.07,48,307
233952,"2Bedroom Flat, 130 sq.m., 1 min to Grand Place",871030,ApartmentsApart,,Bruxelles,50.84742,4.35151,Entire home/apt,150,1,72,2019-10-30,0.78,48,338
234001,"2Bedroom Central, rue A. Dansaert",871030,ApartmentsApart,,Bruxelles,50.85008,4.34812,Entire home/apt,149,1,54,2019-10-24,0.57,48,335
234031,"Overlooking the Opera,2Bedroom Flat",871030,ApartmentsApart,,Bruxelles,50.84883,4.35157,Entire home/apt,150,2,29,2018-12-16,0.32,48,332
291209,Spacious Loft in Art Nouveau house,1509591,Tim,,Saint-Gilles,50.83199,4.34213,Entire home/apt,82,2,141,2019-11-03,1.52,1,245
293138,Magnific studio-flat in EU District,674142,RAS Residence,,Bruxelles,50.84674,4.37359,Private room,120,1,54,2019-11-10,0.61,8,335
293230,1-Bedroom Apartment in EU District,674142,RAS Residence,,Bruxelles,50.84656,4.37459,Entire home/apt,150,1,40,2019-11-03,0.52,8,354
293280,Elegant Studio-Flat in EU District,674142,RAS Residence,,Bruxelles,50.84582,4.37527,Private room,125,1,86,2019-10-13,1.29,8,333
293281,Cute private suite in EU District,674142,RAS Residence,,Bruxelles,50.84626,4.37394,Private room,115,1,123,2019-11-03,1.33,8,353
302472,Brussels EU Uptown charming modern!,71215,Ariane,,Ixelles,50.8154,4.35152,Entire home/apt,89,5,7,2019-04-23,0.12,1,322
308456,Colorfull studio in Saint-Gilles,1561223,Beatrice,,Saint-Gilles,50.82992,4.34602,Entire home/apt,30,2,90,2016-07-23,1.44,1,0
308858,New trendy flat in heart of Europe,1389538,Niel,,Anderlecht,50.83938,4.33211,Entire home/apt,59,5,17,2014-09-22,0.18,1,0
332388,Appartement central Bxl St Gilles,1693914,Judith,,Saint-Gilles,50.82681,4.34228,Private room,40,3,1,2014-12-31,0.02,1,0
348575,Duplex first floor - Brussels,1764707,Marcelo,,Bruxelles,50.84915,4.36475,Entire home/apt,90,90,195,2019-09-25,2.14,3,262
348607,Duplex design in downtown,1764707,Marcelo,,Bruxelles,50.84853,4.36345,Entire home/apt,90,30,166,2019-10-06,1.80,3,260
362046," APART BRUSSELS TYPICALLY  ""JEFF""",1829845,Etienne,,Bruxelles,50.84455,4.35252,Entire home/apt,105,3,6,2016-02-15,0.07,2,0
378953,Large house & garden front room,1823420,Vincent,,Woluwe-Saint-Lambert,50.86229,4.42704,Private room,35,3,38,2019-10-06,0.48,3,287
378955,A nice&green place for a long stay,1823420,Vincent,,Woluwe-Saint-Lambert,50.86188,4.42755,Entire home/apt,75,4,7,2015-04-14,0.08,3,140
385698,B&B Welcome to my place -1,199370,Erick,,Saint-Josse-ten-Noode,50.85242,4.36881,Private room,150,1,5,2019-04-21,0.13,2,327
405932,Sunshine B&B Brussels - Chatelain,2023289,Jacques & Françoise,,Ixelles,50.82219,4.355,Private room,55,2,91,2019-11-08,1.04,1,319
407328,New place next to Midi Station,876633,Nicolas,,Saint-Gilles,50.83369,4.33616,Entire home/apt,70,3,256,2019-10-10,2.76,13,140
417906,Lovely Penthouse in Le Châtelain,2077688,Boudewijn     (Baldwin) & Violaine,,Ixelles,50.82025,4.36152,Entire home/apt,65,2,18,2019-11-12,0.20,1,132
429409,TOUR & TAXIS 1 + FREE PARKING,2126739,Rocío & Ward,,Molenbeek-Saint-Jean,50.86369,4.34366,Entire home/apt,60,5,357,2019-11-05,3.91,6,200
431433,Brussels - beautiful 80m2 flat,1151217,Stefano,,Ixelles,50.82268,4.36201,Entire home/apt,60,4,7,2015-07-29,0.11,1,0
441012,Altitude 100,2188987,Elvira,,Forest,50.81676,4.33828,Entire home/apt,60,3,90,2019-11-14,1.10,2,327
442191,  CHARMY & TRENDY APT BRUSSELS,1210163,Meliha,,Uccle,50.80268,4.34011,Entire home/apt,100,3,109,2019-10-12,1.19,1,125
444866,Grand Place - 3 Bedrooms Penthouse,2210565,Apartments,,Bruxelles,50.84464,4.35197,Entire home/apt,249,2,97,2019-08-20,1.09,11,174
448217,"Nice small B&B single room, private bathroom",2226232,Anne,,Saint-Gilles,50.82906,4.34906,Private room,48,2,462,2019-11-17,5.07,1,149
448674,1Bedroom by the Opera & Grand Place,871030,ApartmentsApart,,Bruxelles,50.84932,4.35284,Entire home/apt,86,2,34,2019-11-04,0.39,48,327
469616,Duplex de charme & oasis bruxellois,2330339,Carine,,Woluwe-Saint-Pierre,50.82716,4.46172,Entire home/apt,110,2,2,2017-11-19,0.06,1,58
494674,"Cosy, well located apartment",2444079,Susana,,Ixelles,50.82523,4.37748,Entire home/apt,43,3,26,2019-08-27,0.32,1,170
510929,Room for one under the roof,2210824,Carine,,Saint-Josse-ten-Noode,50.85333,4.37592,Private room,30,3,232,2019-11-15,2.57,1,65
516715,"APART BRUSSELS TYPICALLY ¨MATHILDE""",1829845,Etienne,,Bruxelles,50.84437,4.35211,Entire home/apt,105,2,42,2015-11-29,0.46,2,0
522520,"Arty House ""Ben""  Brussels Centre",2570123,Jean-Lucien,,Bruxelles,50.84406,4.34415,Entire home/apt,31,91,34,2019-10-15,0.42,3,264
540081,Spacious luxurious 2 beds apt. + balcony Chatelain,2653911,"Françoise, Maurice",,Ixelles,50.81729,4.35462,Entire home/apt,147,4,25,2019-09-29,0.47,1,321
540234,Lovely appart + terrace in Matonge,2654837,Aurore,,Ixelles,50.83565,4.36487,Entire home/apt,70,2,108,2019-11-18,1.30,2,313
540825,A charming family house with garden,2658448,Geoffroy,,Schaerbeek,50.85367,4.38064,Entire home/apt,110,4,5,2015-10-05,0.07,1,0
541182,Central Bird's Nest Apartment with Panoramic City Views,2504586,Jean,,Bruxelles,50.8579,4.35194,Entire home/apt,100,3,257,2019-11-04,2.91,3,321
543729,Room surounded by Green in Brussels,2664271,Benjamin,,Uccle,50.80718,4.33382,Private room,25,1,3,2015-04-10,0.05,1,0
544762,ARTIST APT*15 MIN FROM GRAND-PLACE,253564,Nanou,,Ixelles,50.83695,4.3637,Entire home/apt,70,1,475,2019-11-01,5.28,2,151
550641,City Center bed + ensuite bathroom,2706424,Lena,,Bruxelles,50.85593,4.34832,Private room,57,2,53,2019-10-28,1.09,1,352
551296,Bright apartement in Brussels ,2709922,Yoann,,Saint-Gilles,50.82617,4.33853,Entire home/apt,60,4,7,2015-01-03,0.08,1,0
552123,Modern apartment in Brussels,2670824,Alicia,,Ixelles,50.83222,4.37338,Entire home/apt,135,120,0,,,1,0
592270,HouseBrusselSsteCatherineCool&Calm,2923773,Jack Sun,,Bruxelles,50.85651,4.35139,Entire home/apt,80,1,496,2019-07-19,5.59,4,363
623192,Cosy room in Brussels center,3090043,Amélie,,Bruxelles,50.84264,4.34898,Entire home/apt,60,5,204,2019-10-28,2.31,2,134
623256,Room down town Brussels,3090043,Amélie,,Bruxelles,50.84207,4.34761,Private room,45,3,8,2019-10-25,0.12,2,332
630444,Cosy duplex near the center,3134231,Laurent-David,,Forest,50.82113,4.32047,Entire home/apt,35,30,22,2019-06-15,0.46,2,77
631685,Grand Place with Private Garden,3141405,Melissa,,Bruxelles,50.84481,4.35517,Entire home/apt,117,2,137,2019-11-01,1.59,1,232
666495,"NY Style basement studio, Brussels",3369813,Jeroen,,Anderlecht,50.83325,4.32713,Private room,78,7,24,2019-09-07,0.28,1,352
678139,Cosy 90 m2 duplex + private garden in Ixelles,3449982,Laetitia,,Ixelles,50.83026,4.36418,Entire home/apt,54,5,13,2019-08-30,1.90,3,321
684012,Affordable room in lively Ixelles,2288749,John,,Bruxelles,50.82291,4.36983,Private room,34,2,310,2019-10-26,3.54,1,64
686148,"Arty House ""Barbara""  Brussels Centre",2570123,Jean-Lucien,,Bruxelles,50.84543,4.34545,Entire home/apt,28,91,67,2019-08-31,0.77,3,320
688398,"Studio flat in St Gilles, Brussels",3506931,Adam,,Saint-Gilles,50.83016,4.34492,Entire home/apt,45,3,87,2019-11-08,1.00,1,137
697502,Loft only 5 mins to Eurostar/Thalys Midi Station,3573643,Det,,Forest,50.81955,4.32645,Entire home/apt,240,1,15,2019-11-10,0.20,1,170
701220,"Appart plein de charme, bien situé",102116,Isabelle,,Forest,50.81873,4.32681,Entire home/apt,69,2,0,,,1,291
702465,2 BEDROOM APARTMENT IN BRUSSELS,3275907,Patrick,,Anderlecht,50.84105,4.33798,Entire home/apt,70,4,188,2019-10-03,2.19,1,0
711102,"Furnished, Serviced Studio near EU and NATO",1617667,Anne,,Schaerbeek,50.86124,4.39323,Entire home/apt,50,3,11,2019-11-01,0.14,2,11
719472,Discover Brussels..Discover Belgium,3712799,Luk,,Ganshoren,50.87604,4.29898,Private room,25,10,12,2013-06-13,0.14,1,315
741180,Perle Rare ⚡ Grand Place - Découvrez BXL à pieds !,876633,Nicolas,,Bruxelles,50.84642,4.34786,Entire home/apt,85,3,257,2019-10-28,2.99,13,63
746595,"Unique and fun home garden, parking",3917867,Hugues,,Forest,50.82256,4.32686,Entire home/apt,130,2,99,2019-10-21,1.20,1,249
753573,B&B Berlaymont - EU area,3925484,Madeleine,,Bruxelles,50.84956,4.38654,Private room,44,1,104,2019-11-10,1.29,1,302
766155,Brussels Woluwé 50m2,4040022,Brigitte,,Woluwe-Saint-Lambert,50.843,4.42473,Entire home/apt,60,2,143,2019-09-11,1.69,1,90
767742,Your Place In Brussels with garden,4049481,Claudio,,Saint-Gilles,50.83219,4.34025,Entire home/apt,80,1,10,2013-07-21,0.12,1,0
772975,Beautiful duplex in citycenter,4073342,Ruth & Boris,,Bruxelles,50.84191,4.34521,Entire home/apt,80,4,12,2018-05-13,0.15,1,0
785852,spacious apt in central brussels,3584896,Luna,,Bruxelles,50.85005,4.34295,Entire home/apt,70,3,10,2015-10-09,0.12,1,0
796035,Apartment in trendy Chatelain area,4193092,Helena,,Saint-Gilles,50.82507,4.35778,Entire home/apt,120,2,0,,,1,292
796763,Romantic studio flat in centre (EU),995442,Julien,,Bruxelles,50.84954,4.36657,Entire home/apt,50,1,115,2019-08-29,1.37,13,327
796995,Superb 70m² flat + garden near EU,995442,Julien,,Bruxelles,50.84961,4.36777,Entire home/apt,110,1,113,2019-11-13,1.58,13,144
797022,"Charming, Central & Quiet 50m² flat",995442,Julien,,Bruxelles,50.84931,4.3675,Entire home/apt,100,1,148,2019-11-11,2.07,13,144
797781,EU neighborhood : Super studio !,4200514,Benedicte,,Bruxelles,50.84682,4.38894,Private room,60,3,45,2019-09-22,0.54,2,0
805365,Bright apartment with garden!,4239603,Julien,,Saint-Gilles,50.8339,4.35492,Entire home/apt,65,3,21,2019-01-05,0.25,1,0
807834,A Flat with a View,4250257,Bernard,,Bruxelles,50.83931,4.35093,Entire home/apt,85,1,727,2019-11-13,8.60,1,264
811507,Charming flat! Heart of the EU area,4267408,Benedetta,,Bruxelles,50.84632,4.37503,Entire home/apt,48,6,24,2019-09-29,0.30,1,304
811769,Superb classical 1BR in EU quarter,995442,Julien,,Bruxelles,50.84808,4.36623,Entire home/apt,80,1,93,2019-11-18,2.47,13,127
812232,Smartflats Brusselian 101 - 1Bedroom - City Center,2792958,Alex,,Bruxelles,50.8492,4.35161,Entire home/apt,81,1,54,2019-06-30,0.64,73,315
